****** PSID DATA CENTER ************************* 
****** Variable labels for JobID = 294150 ******* 

Variable    Labels
TA110951   H44E # OF TIMES TOOK W/O DOC IN 12 MOS  
TA110952   H45E # OF TIMES TOOK W/O DOC IN 30 DAYS 
TA110959   H44F # OF TIMES TOOK W/O DOC IN 12 MOS  
TA110960   H45F # OF TIMES TOOK W/O DOC IN 30 DAYS 
TA110967   H44G # OF TIMES TOOK W/O DOC IN 12 MOS  
TA110968   H45G # OF TIMES TOOK W/O DOC IN 30 DAYS 
TA111056   L6 HISPANICITY                          
TA111057   L7 RACE MENTION #1                      
TA111061   M1 FREQUENCY OF HAPPINESS IN LAST MONTH 
TA111062   M2 FREQ OF INTEREST IN LIFE IN LAST MO  
TA111063   M3 FREQ OF FEELING SATISFIED IN LAST MO 
TA111064   M4 FREQ OF FEELING CONTRIB TO SOCIETY   
TA111065   M5 FREQ OF FEELING BELONGING TO COMMUNTY
TA111066   M6 FREQ OF FEELING SOCIETY GETTNG BETTER
TA111067   M7 FREQ OF FEELING PEOPLE BASICALLY GOOD
TA111068   M8 FREQ FEELNG WAY SOC WORKS MAKES SENSE
TA111069   M9 FREQ FEEL MANAGNG DAILY RESPONSIBILTY
TA111070   M10 FREQ FEELING TRUSTING RELS W/OTHERS 
TA111071   M11 FREQ OF FEELING CHALLENGED TO GROW  
TA111072   M12 FREQ FEELING CONFIDENT OF OWN IDEAS 
TA111073   M13 FREQ OF FEELING LIKED PERSONALITY   
TA111074   M14 FREQ OF FEELING LIFE HAD DIRECTION  
TA111119   MENTAL HEALTH:  WORRY                   
TA111120   MENTAL HEALTH:  SOCIAL ANXIETY          
TA111122   SUBSCALE:  EMOTIONAL WB                 
TA111124   SUBSCALE:  PSYCHOLOGICAL WB             
TA111125   MENTAL HEALTH:  NON-SPEC PSYCH DISTRESS 
TA111131   BODY MASS INDEX                         
TA111133   ENROLLMENT STATUS                       
ER34201    2013 INTERVIEW NUMBER                   
ER34202    SEQUENCE NUMBER                       13
ER34203    RELATION TO HEAD                      13
TA130001   RELEASE NUMBER                          
TA130016   A1 WTR INVOLVED IN ARTS                 
TA130017   A2 TYPE OF ARTS                         
TA130018   A3 HOW OFTEN PARTICIPATED IN ARTS       
TA130019   A4 WTR MEMBER OF SPORTS TEAM            
TA130020   A5 HOW OFTEN PARTICIPATD IN SPORTS      
TA130021   A6 HOW OFTEN WATCHED OR READ NEWS       
TA130022   A7 HOW OFTEN READ FOR PLEASURE          
TA130023   A8 HOW OFTEN WATCH NON-NEWS TV          
TA130024   A10A WTR USED INTERNET FOR EMAIL        
TA130025   A10B WTR USED INTERNET FOR SCHOOL       
TA130026   A10C WTR USED INTERNET TO SHOP          
TA130027   A10D WTR USED INTERNET FOR GAMES        
TA130028   A10E WTR USED INTERNET FOR SOC NETWRKING
TA130029   A11 WTR VOTED IN 2012                   
TA130030   A11B WTR IN SOCIAL ACTION GROUPS        
TA130031   A11C TYPE OF SOCIAL ACTION GROUPS       
TA130032   A11D HOW OFTEN DID SOCIAL ACTION GROUPS 
TA130033   A12 WTR INVOLVED WITH SCHOOL CLUBS      
TA130034   A12B HOW OFTEN DID SCHOOL CLUBS         
TA130035   A13 WTR DID OTR VOLUNTEER WORK          
TA130036   A14 TYPE VOLUNTEER ORG-MENTION 1        
TA130037   A14 TYPE VOLUNTEER ORG-MENTION 2        
TA130038   A14 TYPE VOLUNTEER ORG-MENTION 3        
TA130039   A14 TYPE VOLUNTEER ORG-MENTION 4        
TA130040   A14 TYPE VOLUNTEER ORG-MENTION 5        
TA130041   A14 TYPE VOLUNTEER ORG-MENTION 6        
TA130042   A14B HOW OFTEN VOLUNTEERED              
TA130043   B1 FALL/WINTER PRIMARY RESIDENCE        
TA130044   B2 SUMMER PRIMARY RESIDENCE             
TA130045   B5A HOW MUCH RESONSIBLTY EARNG OWN LIVNG
TA130046   B5B HOW MUCH RESPONSIBLTY PAYNG OWN RENT
TA130047   B5C HOW MUCH RESPONSBLTY FOR OWN BILLS  
TA130048   B5D HOW MUCH RESPONSIBLTY MANAGING MONEY
TA130049   B6A HOW GOOD AT RESPONSIBILITY          
TA130050   B6B HOW GOOD AT PROBLEM SOLVING         
TA130051   B6C HOW GOOD AT MONEY MANAGEMENT        
TA130052   B6D HOW GOOD AT CREDIT CARD PAYOFF      
TA130053   C1A HOW GOOD AT SUPERVISING COMP        
TA130054   C1B HOW GOOD AT LEADING COMP W/OTRS     
TA130055   C1C HOW GOOD AT LOGIC COMP W/OTRS       
TA130056   C1D HOW GOOD AT HELPING COMP W/OTRS     
TA130057   C1E HOW INTELLIGENT COMPARED W/OTRS     
TA130058   C1F HOW INDEPENDENT COMPARED W/OTRS     
TA130059   C1G HOW CONFIDENT COMPARED W/OTHERS     
TA130060   C1H HOW DECISIVE COMPARED W/OTHERS      
TA130061   C1J HOW WELL LISTEN COMPARED W/OTHERS   
TA130062   C1K HOW GOOD AT TEACHING COMPARED W/OTRS
TA130078   D1 CURRENT MARITAL STATUS               
TA130087   D8 WTR ROMANTIC RELATIONSHIP NOW        
TA130100   D28A NUMBER OF CHILDREN                 
TA130136   E1 EMPLOYMENT STATUS 1ST MENTION        
TA130140   E3A WTR WORKD SINCE JAN 1 OF PRIOR YEAR 
TA130347   E62 WTR EVER WORKED                     
TA130482   E70 WHY NOT LOOKNG FOR WRK IN LAST 4 WKS
TA130691   G1 WTR GRADUATED HIGH SCHOOL            
TA130718   G10 WTR EVER ATTENDED COLLEGE           
TA130719   G11 WTR IN COLLEGE NOW                  
TA130763   G20 WTR CURRENTLY IN VO/TECH TRAINING   
TA130813   H3 HOW MUCH CONDITION LIMITS AMT OF WORK
TA130848   H12 WTR EVER HAD EMOTIONAL/PSYCH PROBS  
TA130850   H12B WTR DEPRESSION                     
TA130851   H12B WTR BIPOLAR DISORDER               
TA130852   H12B WTR SCHIZOPHRENIA                  
TA130853   H12B WTR ANXIETY                        
TA130854   H12B WTR PHOBIAS                        
TA130855   H12B WTR ALCOHOL PROBLEMS               
TA130856   H12B WTR OTHER DRUG PROBLEMS            
TA130857   H12B WTR OBSESSIVE COMPULSIVE DISORDER  
TA130866   H13B HOW MUCH LIMITS NORMAL ACTIVITIES  
TA130877   H15 WTR>2 WKS DEPRESSED IN PAST 12 MOS  
TA130878   H16 WTR>2 WKS NO INTEREST IN LIFE       
TA130933   H27 # OF HOURS OF SLEEP IN 24-HR PERIOD 
TA130934   H28A FREQ OF SNACK INSTEAD OF REGLR MEAL
TA130935   H28B FREQUENCY OF BINGE EATING          
TA130938   H30 # CIGARETTES PER DAY                
TA130946   H37 HOW OFTEN HAVE DRINKS-HD            
TA130947   H38 # ALCOHOLIC DRINKS PER DAY-HD       
TA130948   H39 # DAYS HAD 4-5 DRINKS-HEAD          
TA130955   H44A # OF TIMES TOOK W/O DOC IN 12 MOS  
TA130956   H45A # OF TIMES TOOK W/O DOC IN 30 DAYS 
TA130963   H44B # OF TIMES TOOK W/O DOC IN 12 MOS  
TA130964   H45B # OF TIMES TOOK W/O DOC IN 30 DAYS 
TA130971   H44C # OF TIMES TOOK W/O DOC IN 12 MOS  
TA130972   H45C # OF TIMES TOOK W/O DOC IN 30 DAYS 
TA130976   H42D_B # OF OCCASIONS IN PAST 12 MOS    
TA130977   H42D_C # OF OCCASIONS IN PAST 30 DAYS   
TA130984   H44E # OF TIMES TOOK W/O DOC IN 12 MOS  
TA130985   H45E # OF TIMES TOOK W/O DOC IN 30 DAYS 
TA130992   H44F # OF TIMES TOOK W/O DOC IN 12 MOS  
TA130993   H45F # OF TIMES TOOK W/O DOC IN 30 DAYS 
TA131000   H44G # OF TIMES TOOK W/O DOC IN 12 MOS  
TA131001   H45G # OF TIMES TOOK W/O DOC IN 30 DAYS 
TA131091   L6 HISPANICITY                          
TA131092   L7 RACE MENTION #1                      
TA131097   M1 FREQUENCY OF HAPPINESS IN LAST MONTH 
TA131098   M2 FREQ OF INTEREST IN LIFE IN LAST MO  
TA131099   M3 FREQ OF FEELING SATISFIED IN LAST MO 
TA131100   M4 FREQ OF FEELING CONTRIB TO SOCIETY   
TA131101   M5 FREQ OF FEELING BELONGING TO COMMUNTY
TA131102   M6 FREQ OF FEELING SOCIETY GETTNG BETTER
TA131103   M7 FREQ OF FEELING PEOPLE BASICALLY GOOD
TA131104   M8 FREQ FEELNG WAY SOC WORKS MAKES SENSE
TA131105   M9 FREQ FEEL MANAGNG DAILY RESPONSIBILTY
TA131106   M10 FREQ FEELING TRUSTING RELS W/OTHERS 
TA131107   M11 FREQ OF FEELING CHALLENGED TO GROW  
TA131108   M12 FREQ FEELING CONFIDENT OF OWN IDEAS 
TA131109   M13 FREQ OF FEELING LIKED PERSONALITY   
TA131110   M14 FREQ OF FEELING LIFE HAD DIRECTION  
TA131211   MENTAL HEALTH:  WORRY                   
TA131212   MENTAL HEALTH:  SOCIAL ANXIETY          
TA131214   SUBSCALE:  EMOTIONAL WB                 
TA131216   SUBSCALE:  PSYCHOLOGICAL WB             
TA131217   MENTAL HEALTH:  NON-SPEC PSYCH DISTRESS 
TA131223   BODY MASS INDEX                         
TA131225   ENROLLMENT STATUS                       
ER34301    2015 INTERVIEW NUMBER                   
ER34302    SEQUENCE NUMBER                       15
ER34303    RELATION TO HEAD                      15
TA150001   RELEASE NUMBER                          
TA150016   A1 WTR INVOLVED IN ARTS                 
TA150017   A2 TYPE OF ARTS                         
TA150018   A3 HOW OFTEN PARTICIPATED IN ARTS       
TA150019   A4 WTR MEMBER OF SPORTS TEAM            
TA150020   A5 HOW OFTEN PARTICIPATD IN SPORTS      
TA150021   A6 HOW OFTEN WATCHED OR READ NEWS       
TA150022   A7 HOW OFTEN READ FOR PLEASURE          
TA150023   A8 HOW OFTEN WATCH NON-NEWS TV          
TA150024   A10A WTR USED INTERNET FOR EMAIL        
TA150025   A10B WTR USED INTERNET FOR SCHOOL       
TA150026   A10C WTR USED INTERNET TO SHOP          
TA150027   A10D WTR USED INTERNET FOR GAMES        
TA150028   A10E WTR USED INTERNET FOR SOC NETWRKING
TA150029   A11 WTR VOTED IN 2014                   
TA150030   A11B WTR IN SOCIAL ACTION GROUPS        
TA150031   A11C TYPE OF SOCIAL ACTION GROUPS       
TA150032   A11D HOW OFTEN DID SOCIAL ACTION GROUPS 
TA150033   A12 WTR INVOLVED WITH SCHOOL CLUBS      
TA150034   A12B HOW OFTEN DID SCHOOL CLUBS         
TA150035   A13 WTR DID OTR VOLUNTEER WORK          
TA150036   A14 TYPE VOLUNTEER ORG-MENTION 1        
TA150037   A14 TYPE VOLUNTEER ORG-MENTION 2        
TA150038   A14 TYPE VOLUNTEER ORG-MENTION 3        
TA150039   A14 TYPE VOLUNTEER ORG-MENTION 4        
TA150040   A14 TYPE VOLUNTEER ORG-MENTION 5        
TA150041   A14 TYPE VOLUNTEER ORG-MENTION 6        
TA150042   A14B HOW OFTEN VOLUNTEERED              
TA150043   B1 FALL/WINTER PRIMARY RESIDENCE        
TA150044   B2 SUMMER PRIMARY RESIDENCE             
TA150045   B5A HOW MUCH RESONSIBLTY EARNG OWN LIVNG
TA150046   B5B HOW MUCH RESPONSIBLTY PAYNG OWN RENT
TA150047   B5C HOW MUCH RESPONSBLTY FOR OWN BILLS  
TA150048   B5D HOW MUCH RESPONSIBLTY MANAGING MONEY
TA150049   B6A HOW GOOD AT RESPONSIBILITY          
TA150050   B6B HOW GOOD AT PROBLEM SOLVING         
TA150051   B6C HOW GOOD AT MONEY MANAGEMENT        
TA150052   B6D HOW GOOD AT CREDIT CARD PAYOFF      
TA150053   C1A HOW GOOD AT SUPERVISING COMP        
TA150054   C1B HOW GOOD AT LEADING COMP W/OTRS     
TA150055   C1C HOW GOOD AT LOGIC COMP W/OTRS       
TA150056   C1D HOW GOOD AT HELPING COMP W/OTRS     
TA150057   C1E HOW INTELLIGENT COMPARED W/OTRS     
TA150058   C1F HOW INDEPENDENT COMPARED W/OTRS     
TA150059   C1G HOW CONFIDENT COMPARED W/OTHERS     
TA150060   C1H HOW DECISIVE COMPARED W/OTHERS      
TA150061   C1J HOW WELL LISTEN COMPARED W/OTHERS   
TA150062   C1K HOW GOOD AT TEACHING COMPARED W/OTRS
TA150070   D1 CURRENT MARITAL STATUS               
TA150079   D8 WTR ROMANTIC RELATIONSHIP NOW        
TA150092   D28A NUMBER OF CHILDREN                 
TA150128   E1 EMPLOYMENT STATUS 1ST MENTION        
TA150132   E3A WTR WORKD SINCE JAN 1 OF PRIOR YEAR 
TA150349   E62 WTR EVER WORKED                     
TA150491   E70 WHY NOT LOOKNG FOR WRK IN LAST 4 WKS
TA150701   G1 WTR GRADUATED HIGH SCHOOL            
TA150730   G10 WTR EVER ATTENDED COLLEGE           
TA150731   G11 WTR IN COLLEGE NOW                  
TA150776   G20 WTR CURRENTLY IN VO/TECH TRAINING   
TA150826   H3 HOW MUCH CONDITION LIMITS AMT OF WORK
TA150865   H12 WTR EVER HAD EMOTIONAL/PSYCH PROBS  
TA150867   H12B WTR DEPRESSION                     
TA150868   H12B WTR BIPOLAR DISORDER               
TA150869   H12B WTR SCHIZOPHRENIA                  
TA150870   H12B WTR ANXIETY                        
TA150871   H12B WTR PHOBIAS                        
TA150872   H12B WTR ALCOHOL PROBLEMS               
TA150873   H12B WTR OTHER DRUG PROBLEMS            
TA150874   H12B WTR OBSESSIVE COMPULSIVE DISORDER  
TA150883   H13B HOW MUCH LIMITS NORMAL ACTIVITIES  
TA150892   H15 WTR>2 WKS DEPRESSED IN PAST 12 MOS  
TA150893   H16 WTR>2 WKS NO INTEREST IN LIFE       
TA150949   H27 # OF HOURS OF SLEEP IN 24-HR PERIOD 
TA150950   H28A FREQ OF SNACK INSTEAD OF REGLR MEAL
TA150951   H28B FREQUENCY OF BINGE EATING          
TA150954   H30 # CIGARETTES PER DAY                
TA150968   H37 HOW OFTEN HAVE DRINKS-HD            
TA150969   H38 # ALCOHOLIC DRINKS PER DAY-HD       
TA150970   H39 # DAYS HAD 4-5 DRINKS-HEAD          
TA150977   H44A # OF TIMES TOOK W/O DOC IN 12 MOS  
TA150978   H45A # OF TIMES TOOK W/O DOC IN 30 DAYS 
TA150985   H44B # OF TIMES TOOK W/O DOC IN 12 MOS  
TA150986   H45B # OF TIMES TOOK W/O DOC IN 30 DAYS 
TA150993   H44C # OF TIMES TOOK W/O DOC IN 12 MOS  
TA150994   H45C # OF TIMES TOOK W/O DOC IN 30 DAYS 
TA150998   H42D_B # OF OCCASIONS IN PAST 12 MOS    
TA150999   H42D_C # OF OCCASIONS IN PAST 30 DAYS   
TA151006   H44E # OF TIMES TOOK W/O DOC IN 12 MOS  
TA151007   H45E # OF TIMES TOOK W/O DOC IN 30 DAYS 
TA151014   H44F # OF TIMES TOOK W/O DOC IN 12 MOS  
TA151015   H45F # OF TIMES TOOK W/O DOC IN 30 DAYS 
TA151022   H44G # OF TIMES TOOK W/O DOC IN 12 MOS  
TA151023   H45G # OF TIMES TOOK W/O DOC IN 30 DAYS 
TA151131   L6 HISPANICITY                          
TA151132   L7 RACE MENTION #1                      
TA151137   M1 FREQUENCY OF HAPPINESS IN LAST MONTH 
TA151138   M2 FREQ OF INTEREST IN LIFE IN LAST MO  
TA151139   M3 FREQ OF FEELING SATISFIED IN LAST MO 
TA151140   M4 FREQ OF FEELING CONTRIB TO SOCIETY   
TA151141   M5 FREQ OF FEELING BELONGING TO COMMUNTY
TA151142   M6 FREQ OF FEELING SOCIETY GETTNG BETTER
TA151143   M7 FREQ OF FEELING PEOPLE BASICALLY GOOD
TA151144   M8 FREQ FEELNG WAY SOC WORKS MAKES SENSE
TA151145   M9 FREQ FEEL MANAGNG DAILY RESPONSIBILTY
TA151146   M10 FREQ FEELING TRUSTING RELS W/OTHERS 
TA151147   M11 FREQ OF FEELING CHALLENGED TO GROW  
TA151148   M12 FREQ FEELING CONFIDENT OF OWN IDEAS 
TA151149   M13 FREQ OF FEELING LIKED PERSONALITY   
TA151150   M14 FREQ OF FEELING LIFE HAD DIRECTION  
TA151271   MENTAL HEALTH:  WORRY                   
TA151272   MENTAL HEALTH:  SOCIAL ANXIETY          
TA151274   SUBSCALE:  EMOTIONAL WB                 
TA151276   SUBSCALE:  PSYCHOLOGICAL WB             
TA151277   MENTAL HEALTH:  NON-SPEC PSYCH DISTRESS 
TA151283   BODY MASS INDEX                         
TA151285   ENROLLMENT STATUS                       
ER34501    2017 INTERVIEW NUMBER                   
ER34502    SEQUENCE NUMBER                       17
ER34503    RELATION TO REFERENCE PERSON          17
TA170001   RELEASE NUMBER                          
TA170016   A2 WTR INVOLVED IN ARTS                 
TA170017   A3 TYPE OF ARTS                         
TA170018   A4 HOW OFTEN PARTICIPATED IN ARTS       
TA170019   A5 WTR MEMBER OF SPORTS TEAM            
TA170020   A6 HOW OFTEN PARTICIPATD IN SPORTS      
TA170021   A7 WTR INVOLVED WITH SCHOOL CLUBS       
TA170022   A8 HOW OFTEN DID SCHOOL CLUBS           
TA170023   A9CKPT WTR ELIGIBLE TO VOTE IN 2016     
TA170024   A9 WTR VOTED IN 2016                    
TA170025   A10 WTR IN SOCIAL ACTION GROUPS         
TA170026   A11 TYPE OF SOCIAL ACTION GROUPS        
TA170027   A12 HOW OFTEN DID SOCIAL ACTION GROUPS  
TA170028   A13 WTR DID VOLUNTEER WORK              
TA170029   A14 TYPE VOLUNTEER ORG-MENTION 1        
TA170030   A14 TYPE VOLUNTEER ORG-MENTION 2        
TA170031   A14 TYPE VOLUNTEER ORG-MENTION 3        
TA170032   A14 TYPE VOLUNTEER ORG-MENTION 4        
TA170033   A14 TYPE VOLUNTEER ORG-MENTION 5        
TA170034   A14 TYPE VOLUNTEER ORG-MENTION 6        
TA170035   A15 HOW OFTEN VOLUNTEERED               
TA170058   B15 FALL/WINTER PRIMARY RESIDENCE       
TA170059   B16 SUMMER PRIMARY RESIDENCE            
TA170061   B17A HOW MUCH RESPONSIBLTY EARN OWN LIV 
TA170062   B17B HOW MUCH RESPONSIBLTY PAY OWN RENT 
TA170063   B17C HOW MUCH RESPONSBLTY FOR OWN BILLS 
TA170064   B17D HOW MUCH RESPONSIBLTY MANAGE MONEY 
TA170065   B18A FREQ OF HAPPINESS IN LAST MONTH    
TA170066   B18B FREQ INTEREST IN LIFE IN LAST MO   
TA170067   B18C FREQ FEELING SATISFIED IN LAST MO  
TA170068   B18D FREQ OF FEELING CONTRIB TO SOCIETY 
TA170069   B18E FREQ OF FEELING BELONG TO COMMUNTY 
TA170070   B18F FREQ FEELING SOCIETY GETTNG BETTER 
TA170071   B18G FREQ FEELING PEOPLE BASICALLY GOOD 
TA170072   B18H FREQ FEEL WAY SOC WORK MAKES SENSE 
TA170073   B18J FREQ FEEL MANAGE DAILY RESONSIBLTY 
TA170074   B18K FREQ FEEL TRUSTING RELS W/OTHERS   
TA170075   B18L FREQ OF FEELING CHALLENGED TO GROW 
TA170076   B18M FREQ FEELING CONFIDENT OWN IDEAS   
TA170077   B18N FREQ OF FEELING LIKED PERSONALITY  
TA170078   B18O FREQ OF FEELING LIFE HAD DIRECTION 
TA170093   C1 CURRENT MARITAL STATUS               
TA170116   C12 WTR ROMANTIC RELATIONSHIP NOW       
TA170176   C45 NUMBER OF CHILDREN                  
TA170183   D1 EMPLOYMENT STATUS 1ST MENTION        
TA170187   D3 WTR WORKED SINCE JAN 1 OF PRIOR YEAR 
TA170386   D83 WTR EVER WORKED                     
TA170416   D86 WTR ATTENDED JOB TRAINING PROGRAM   
TA170781   G6 WTR GRADUATED HIGH SCHOOL            
TA170790   G15 WTR ATTENDING OR HAS ATTENDED COLL  
TA170795   G18CKPT WTR ATTEND COLLEGE              
TA170866   H6 HOW MUCH CONDITION LIMITS AMT WORK   
TA170905   H12 WTR EVER HAD EMOTIONAL/PSYCH PROBS  
TA170907   H12B WTR DEPRESSION                     
TA170908   H12B WTR BIPOLAR DISORDER               
TA170909   H12B WTR SCHIZOPHRENIA                  
TA170910   H12B WTR ANXIETY                        
TA170911   H12B WTR PHOBIAS                        
TA170912   H12B WTR ALCOHOL PROBLEMS               
TA170913   H12B WTR OTHER DRUG PROBLEMS            
TA170914   H12B WTR OBSESSIVE COMPULSIVE DISORDER  
TA170923   H13B HOW MUCH LIMITS NORMAL ACTIVITIES  
TA171798   H82 # OF HOURS OF SLEEP IN 24-HR PERIOD 
TA171806   H84 WTR>2 WKS DEPRESSED IN PAST 12 MOS  
TA171807   H85 WTR>2 WKS NO INTEREST IN LIFE       
TA171809   H87 # CIGARETTES PER DAY                
TA171825   H104 HOW OFTEN HAVE DRINKS              
TA171826   H105 # ALCOHOLIC DRINKS PER DAY         
TA171827   H106 # DAYS HAD 4-5 DRINKS              
TA171834   H112 # OF TIMES TOOK W/O DOC IN 12 MO   
TA171835   H113 # OF TIMES TOOK W/O DOC 30 DAYS    
TA171839   H110B # OF OCCASIONS IN PAST 12 MOS     
TA171840   H110C # OF OCCASIONS IN PAST 30 DAYS    
TA171852   H112 # OF TIMES TOOK W/O DOC IN 12 MO   
TA171853   H113 # OF TIMES TOOK W/O DOC 30 DAYS    
TA171860   H112 # OF TIMES TOOK W/O DOC IN 12 MO   
TA171861   H113 # OF TIMES TOOK W/O DOC 30 DAYS    
TA171868   H112 # OF TIMES TOOK W/O DOC IN 12 MO   
TA171869   H113 # OF TIMES TOOK W/O DOC 30 DAYS    
TA171876   H112 # OF TIMES TOOK W/O DOC IN 12 MO   
TA171877   H113 # OF TIMES TOOK W/O DOC 30 DAYS    
TA171884   H112 # OF TIMES TOOK W/O DOC IN 12 MO   
TA171885   H113 # OF TIMES TOOK W/O DOC 30 DAYS    
TA171955   L7 RACE MENTION #1                      
TA171960   L8 HISPANICITY MENTION 1                
TA171971   MENTAL HEALTH:  SOCIAL ANXIETY          
TA171972   SUBSCALE:  EMOTIONAL WB                 
TA171974   SUBSCALE:  PSYCHOLOGICAL WB             
TA171975   MENTAL HEALTH:  NON-SPEC PSYCH DISTRESS 
TA171978   BODY MASS INDEX                         
TA171980   ENROLLMENT STATUS                       

*** End of labels ******************************* 
